Species,Target As,Game,Location,Environment,Time,Weater,Season,SOS
Heatran,Heatran,Ultra Sun,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
Regigigas,Regigigas,Ultra Moon,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
Giratina,Giratina,Ultra Sun,Ultra Space Wilds - Cave,Requires Dialga & Palkia,All Day,N/A,N/A,N/A
Cresselia,Cresselia,Ultra Sun,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Phione,Phione,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Manaphy,Manaphy,Pokémon Brilliant Diamond,Pokémon Home,Deposit full Sinnoh Dex,N/A,N/A,N/A,N/A
Darkrai,Darkrai,Pokémon Brilliant Diamond,Newmoon Island,Interact,All Day,N/A,N/A,N/A
Shaymin,Shaymin,Pokémon Brilliant Diamond,Flower Paradise,Interact,All Day,N/A,N/A,N/A
Arceus,Arceus,Pokémon Brilliant Diamond,Hall of Origin,Interact,All Day,N/A,N/A,N/A
Victini,Victini,None,None,None,N/A,N/A,N/A,N/A
Snivy,Snivy,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Servine,Snivy,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Serperior,Snivy,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tepig,Tepig,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pignite,Tepig,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Emboar,Tepig,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Oshawott,Oshawott,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dewott,Oshawott,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Samurott,Oshawott,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Patrat,Patrat,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Watchog,Watchog,X,Route 15,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Lillipup,Lillipup,Ultra Sun,Route 4,Walking / Grass,Day,N/A,N/A,Initial
Herdier,Lillipup,Ultra Sun,Route 4,Walking / Grass,Day,N/A,N/A,Initial
Stoutland,Lillipup,Ultra Sun,Route 4,Walking / Grass,Day,N/A,N/A,Initial
Purrloin,Purrloin,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Liepard,Liepard,Y,Route 15,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Pansage,Pansage,X,Santalune Forest,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Simisage,Pansage,X,Santalune Forest,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Pansear,Pansear,X,Santalune Forest,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Simisear,Pansear,X,Santalune Forest,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Panpour,Panpour,X,Santalune Forest,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Simipour,Panpour,X,Santalune Forest,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Munna,Munna,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Musharna,Musharna,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Pidove,Pidove,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Tranquill,Tranquill,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Unfezant,Unfezant,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Blitzle,Blitzle,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Zebstrika,Zebstrika,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Roggenrola,Roggenrola,Ultra Sun,Ten Carat Hill - Cave,Walking / Grass,All Day,N/A,N/A,Initial
Boldore,Roggenrola,Ultra Sun,Ten Carat Hill - Cave,Walking / Grass,All Day,N/A,N/A,Initial
Gigalith,Roggenrola,Ultra Sun,Ten Carat Hill - Cave,Walking / Grass,All Day,N/A,N/A,Initial
Woobat,Woobat,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Swoobat,Swoobat,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Drilbur,Drilbur,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Excadrill,Excadrill,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Audino,Audino,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Timburr,Timburr,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gurdurr,Gurdurr,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Conkeldurr,Gurdurr,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Tympole,Tympole,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Palpitoad,Palpitoad,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Seismitoad,Seismitoad,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Throh,Throh,Y,Route 11,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Sawk,Sawk,X,Route 11,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Sewaddle,Sewaddle,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Swadloon,Swadloon,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Leavanny,Leavanny,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Venipede,Venipede,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Whirlipede,Whirlipede,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Scolipede,Scolipede,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Cottonee,Cottonee,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Whimsicott,Whimsicott,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Petilil,Petilil,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lilligant,Lilligant,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Basculin,Basculin,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sandile,Sandile,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Krokorok,Krokorok,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Krookodile,Krookodile,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Darumaka,Darumaka,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Darmanitan,Darmanitan,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Maractus,Maractus,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Dwebble,Dwebble,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Crustle,Crustle,Ultra Sun,Ultra Space Wilds - Cave,Interact,All Day,N/A,N/A,N/A
Scraggy,Scraggy,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Scrafty,Scrafty,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sigilyph,Sigilyph,X,Route 10,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Yamask,Yamask,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Cofagrigus,Cofagrigus,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Tirtouga,Tirtouga,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Carracosta,Carracosta,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Archen,Archen,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Archeops,Archeops,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Trubbish,Trubbish,Ultra Sun,Malie City - Outer Cape,Walking / Grass,All Day,N/A,N/A,Initial
Garbodor,Trubbish,Ultra Sun,Malie City - Outer Cape,Walking / Grass,All Day,N/A,N/A,Initial
Zorua,Zorua,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Zoroark,Zoroark,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Minccino,Minccino,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cinccino,Cinccino,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gothita,Gothita,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gothorita,Gothorita,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gothitelle,Gothitelle,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Solosis,Solosis,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Duosion,Duosion,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Reuniclus,Reuniclus,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ducklett,Ducklett,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Swanna,Ducklett,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vanillite,Vanillite,Sun,Tapu Village,Weather SOS Battle,All Day,N/A,N/A,N/A
Vanillish,Vanillish,Sun,Mount Lanakila - Mountainside,Weather SOS Battle,All Day,N/A,N/A,N/A
Vanilluxe,Vanillish,Sun,Mount Lanakila - Mountainside,Weather SOS Battle,All Day,N/A,N/A,N/A
Deerling,Deerling,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sawsbuck,Sawsbuck,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Emolga,Emolga,X,Route 10,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Karrablast,Karrablast,X,Route 14,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Escavalier,Karrablast,X,Route 14,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Foongus,Foongus,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Amoonguss,Amoonguss,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Frillish,Frillish,Ultra Sun,Route 14,Interact,All Day,N/A,N/A,
Jellicent,Frillish,Ultra Sun,Route 14,Interact,All Day,N/A,N/A,
Alomomola,Alomomola,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Joltik,Joltik,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Galvantula,Galvantula,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ferroseed,Ferroseed,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Ferrothorn,Ferrothorn,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Klink,Klink,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Klang,Klang,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Klinklang,Klinklang,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Tynamo,Tynamo,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Eelektrik,Eelektrik,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Eelektross,Eelektross,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Elgyem,Elgyem,Ultra Sun,Mount Hokulani,Walking / Grass,Day,N/A,N/A,Initial
Beheeyem,Elgyem,Ultra Sun,Mount Hokulani,Walking / Grass,Day,N/A,N/A,Initial
Litwick,Litwick,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lampent,Lampent,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Chandelure,Lampent,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Axew,Axew,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Fraxure,Fraxure,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Haxorus,Fraxure,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cubchoo,Cubchoo,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Beartic,Beartic,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cryogonal,Cryogonal,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Shelmet,Shelmet,X,Route 14,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Accelgor,Shelmet,X,Route 14,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Stunfisk,Stunfisk,X,Route 14,Water - PokeRadar,N/A,N/A,N/A,N/A
Mienfoo,Mienfoo,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mienshao,Mienfoo,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Druddigon,Druddigon,X,Victory Road - Room 1,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Golett,Golett,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Golurk,Golurk,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pawniard,Pawniard,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bisharp,Bisharp,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bouffalant,Bouffalant,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Rufflet,Rufflet,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Braviary,Braviary,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vullaby,Vullaby,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Mandibuzz,Mandibuzz,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Heatmor,Heatmor,X,Route 18,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Durant,Durant,X,Route 18,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Deino,Deino,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Zweilous,Zweilous,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hydreigon,Zweilous,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Larvesta,Larvesta,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Volcarona,Volcarona,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cobalion,Cobalion,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Terrakion,Terrakion,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Virizion,Virizion,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Tornadus,Tornadus,Ultra Sun,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Thundurus,Thundurus,Ultra Moon,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Reshiram,Reshiram,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Zekrom,Zekrom,Ultra Moon,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Landorus,Landorus,Ultra Sun,Ultra Space Wilds - Cliff,Requires Tornadus & Thundurus,All Day,N/A,N/A,N/A
Kyurem,Kyurem,Ultra Sun,Ultra Space Wilds - Water,Requires Reshiram & Zekrom,All Day,N/A,N/A,N/A
Keldeo,Keldeo,Pokémon Sword,Pokémon Home,Deposit full Galar; Isle of Armor; and Crown Tundra Dex,N/A,N/A,N/A,N/A
Meloetta,Meloetta,Scarlet,Pokémon Home,Deposit full Paldea; Kitakami; and Blueberry Dex,N/A,N/A,N/A,N/A
Genesect,Genesect,None,None,None,N/A,N/A,N/A,N/A
Chespin,Chespin,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Quilladin,Chespin,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Chesnaught,Chespin,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Fennekin,Fennekin,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Braixen,Fennekin,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Delphox,Fennekin,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Froakie,Froakie,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Frogadier,Froakie,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Greninja,Froakie,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Bunnelby,Bunnelby,X,Route 2,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Diggersby,Diggersby,X,Route 22,Yellow Flowers - PokeRadar,N/A,N/A,N/A,N/A
Fletchling,Fletchling,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Fletchinder,Fletchinder,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Talonflame,Talonflame,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Scatterbug,Scatterbug,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Spewpa,Spewpa,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vivillon,Vivillon,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Litleo,Litleo,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pyroar,Pyroar,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Flabébé,Flabébé,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Floette,Floette,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Florges,Florges,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Skiddo,Skiddo,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gogoat,Gogoat,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pancham,Pancham,X,Route 5,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Pangoro,Pancham,X,Route 5,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Furfrou,Furfrou,X,Route 5,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Espurr,Espurr,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Meowstic,Meowstic,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Honedge,Honedge,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Doublade,Doublade,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Aegislash,Aegislash,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Spritzee,Spritzee,Y,Route 7,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Aromatisse,Spritzee,Y,Route 7,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Swirlix,Swirlix,X,Route 7,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Slurpuff,Swirlix,X,Route 7,Walking / Grass - PokeRadar,N/A,N/A,N/A,N/A
Inkay,Inkay,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Malamar,Inkay,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Binacle,Binacle,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Barbaracle,Barbaracle,Ultra Sun,Ultra Space Wilds - Water,Interact,All Day,N/A,N/A,N/A
Skrelp,Skrelp,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dragalge,Dragalge,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Clauncher,Clauncher,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Clawitzer,Clawitzer,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Helioptile,Helioptile,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Heliolisk,Heliolisk,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Tyrunt,Tyrunt,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Tyrantrum,Tyrantrum,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Amaura,Amaura,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Aurorus,Aurorus,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Sylveon,Sylveon,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Hawlucha,Hawlucha,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dedenne,Dedenne,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Carbink,Carbink,Scarlet,Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Goomy,Goomy,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Sliggoo,Sliggoo,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Goodra,Sliggoo,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Klefki,Klefki,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Phantump,Phantump,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Trevenant,Trevenant,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pumpkaboo,Pumpkaboo,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Gourgeist,Gourgeist,Any,Day Care Center,Masuda Method,N/A,N/A,N/A,N/A
Bergmite,Bergmite,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Avalugg,Avalugg,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Noibat,Noibat,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Noivern,Noivern,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Xerneas,Xerneas,Ultra Sun,Ultra Space Wilds - Forest,Interact,All Day,N/A,N/A,N/A
Yveltal,Yveltal,Ultra Moon,Ultra Space Wilds - Cliff,Interact,All Day,N/A,N/A,N/A
Zygarde,Zygarde,Pokémon Sword,Dynamax Adventures,Max Raid Battle,N/A,N/A,N/A,N/A
Diancie,Diancie,None,None,None,N/A,N/A,N/A,N/A
Hoopa,Hoopa,None,None,None,N/A,N/A,N/A,N/A
Volcanion,Volcanion,None,None,None,N/A,N/A,N/A,N/A
Rowlet,Rowlet,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Dartrix,Rowlet,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Decidueye,Rowlet,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Litten,Litten,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Torracat,Litten,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Incineroar,Litten,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Popplio,Popplio,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Brionne,Popplio,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Primarina,Popplio,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Pikipek,Pikipek,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Trumbeak,Trumbeak,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Toucannon,Toucannon,Scarlet,Terarium: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Yungoos,Yungoos,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Gumshoos,Gumshoos,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Grubbin,Grubbin,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Charjabug,Charjabug,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Vikavolt,Charjabug,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Crabrawler,Crabrawler,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Crabominable,Crabominable,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Oricorio,Oricorio,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Cutiefly,Cutiefly,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Ribombee,Ribombee,Scarlet,Kitakami: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Rockruff,Rockruff,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Lycanroc,Lycanroc,Scarlet,Paldea: Mass Outbreaks,SV Outbreak,N/A,N/A,N/A,N/A
Wishiwashi,Wishiwashi,Ultra Sun,Route 7,Fish,All Day,N/A,N/A,Initial
